jp	en	romanji	tags												
にんげん	human	ningen	people												
じんるい	humanity	jinrui	people												
ひと	person	hito	people												
おとこ	male	otoko	people												
おとこのひと	man	otokonohito	people												
おとこのこ	boy	otokonoko	people												
おんな	female	onna	people												
おんなのひと	woman	onnanohito	people												
おんなのこ	girl	onnanoko	people												
あかちゃん	baby	akachan	people												
わかもの	youth	wakamono	people												
わたし	I,myself	watashi	people												
わたくし	I,myself	watakushi [most formal]	people												
ぼく	I,myself	boku	people												
おれ	I,myself	ore	people												
あたし	I,myself	atashi	people												
しょうじょ	girl	shoujo	people												
しょうねん	boy	shounen	people												
いしゃ	doctor	isha	profession												
かんごし	nurse	kangoshi	profession												
かんごふ	female nurse	kangofu	profession												
しかい	dentist	shikai	profession												
せいじか	politician	seijika	profession												
べんごし	lawyer	bengoshi	profession												
しょうぼうし	firefighter	shouboushi	profession												
けいさつかん	police officer	keisatsukan	profession												
へいし	soldier	heishi	profession												
けんちくか	architect	kenchikuka	profession												
せんせい	teacher	sensei	profession												
きょうし	teacher	kyoushi	profession												
かしゅ	singer	kashu	profession												
あし	foot,leg	ashi	body												
かかと	heel	kakato	body												
すね	shin	sune	body												
ひざ	knee	hiza	body												
もも	thigh	momo	body												
あたま	head	atama	body												
かお	face	kao	body												
くち	mouth	kuchi	body												
くちびる	lips	kuchibiru	body												
は	tooth	ha	body												
はな	nose	hana	body												
め	eye	me	body												
ひげ	moustache	beard	body												
かみ	hair	kami	body												
みみ	ear	mimi	body												
おなか	stomach	onaka	body												
うで	arm	ude	body												
ひじ	elbow	hiji	body												
かた	shoulder	kata	body												
つめ	nail	tsume	body												
て	hand	te	body												
てくび	wrist	tekubi	body												
てのひら	palm of hand	te-no-hira	body												
ゆび	finger	toe	body												
しり	buttocks	shiri	body												
おなか	abdomen	o-naka	body												
かんぞう	liver	kanzō	body												
きも	liver	kimo	body												
きんにく	muscle	kin'niku	body												
くび	neck	kubi	body												
こころ	heart [feelings]	kokoro	body												
こし	waist	hip	body												
しんぞう	heart	shinzō	body												
せなか	back	senaka	body												
ち	blood	chi	body												
にく	meat	niku	body												
はだ	skin	hada	body												
ひふ	skin	hifu	body												
ほね	bone	hone	body												
むね	chest	mune	body												
かぜ	cold [illness]	kaze	body												
げり	diarrhea	geri	body												
びょうき	illness	byōki	body												
かぞく	family	kazoku	family												
りょうしん	parents	ryoushin	family												
こども	child	kodomo	family												
ちち	father	chichi	family												
はは	mother	haha	family												
つま	wife	tsuma	family												
おっと	husband	otto	family												
あに	older brother	onī-san	family												
あね	older sister	onē-san	family												
おとうと	younger brother	otōto	family												
いもうと	younger sister	imōto	family												
きょうだい	siblings	kyōdai	family												
しまい	sisters	shimai	family												
そふ	grandfather	ojii-san	family												
そぼ	grandmother	obaa-san	family												
まご	grandchild	mago	family												
おじ	uncle	oji-san	family												
おば	aunt	oba-san	family												
いとこ	cousin	itoko	family												
めい	niece	mei	family												
おい	nephew	oi	family												
															
															
															
															
															
															
いきもの	living creatures	ikimono	life												
ばけもの	monster	bakemono	life												
どうぶつ	animal	dōbutsu	animal												
いぬ	dog	inu	animal												
ねこ	cat	neko	animal												
うし	cow	ushi	animal												
ぶた	pig	buta	animal												
うま	horse	uma	animal												
ひつじ	sheep	hitsuji	animal												
さる	monkey	saru	animal												
ねずみ	mouse/rat	nezumi	animal												
とら	tiger	tora	animal												
オオカミ	wolf	ōkami	animal												
うさぎ	rabbit	usagi	animal												
りゅう	dragon	ryū	animal												
しか	deer	shika	animal												
かえる	frog	kaeru	animal												
がま	toad	gama	animal												
しし	lion	shishi	animal												
キリン	giraffe	kirin	animal												
ぞう	elephant	zō	animal												
とり	bird	tori	animal												
にわとり	chicken	niwatori	animal												
すずめ	sparrow	suzume	animal												
からす	crow	karasu	animal												
わし	eagle	washi	animal												
たか	hawk	taka	animal												
さかな	fish	sakana	animal												
たい	red snapper	tai	animal												
えび	shrimp	ebi	animal												
いわし	sardine	iwashi	animal												
まぐろ	tuna	maguro	animal												
かつお	bonito	katsuo	animal												
さんま	pike	sanma	animal												
あじ	horse mackerel	aji	animal												
さば	mackerel	saba	animal												
イカ	squid	ika	animal												
タコ	octopus	tako	animal												
むし	insect	mushi	animal												
ちょう	butterfly	chō	animal												
ガ	moth	ga	animal												
せみ	cicada	semi	animal												
トンボ	dragonfly	tonbo	animal												
バッタ	grasshopper	batta	animal												
クモ	spider	kumo	animal												
ホタル	firefly	hotaru	animal												
ハエ	housefly	hae	animal												
カ	mosquito	ka	animal												
ゴキブリ	cockroach	gokiburi	animal												
カタツムリ	snail	katatsumuri	animal												
ナメクジ	slug	namekuji	animal												
ミミズ	earthworm	mimizu	animal												
かい	shellfish	kai	animal												
かいがら	shell	kaigara	animal												
トカゲ	lizard	tokage	animal												
へび	snake	hebi	animal												
くま	bear	kuma	animal												
															
しょくぶつ	??????	shokubutsu	plant												
くさ	grass	kusa	plant												
はな	flower	hana	plant												
み	fruit	mi	plant												
き	tree	ki	plant												
はっぱ	leaf	ha or happa	plant												
ね or ねっこ、根 or 根っ子 - root		ne or nekko	plant												
くき、茎 - stem		kuki	plant												
きのこ、茸 - mushroom		kinoko	plant												
きく、菊 - chrysanthemum	kiku		plant												
さくら	cherry blossom	sakura	plant												
															
こめ	uncooked rice	kome													
いね	rice growing in a field	ine													
むぎ	wheat	barley	oats	mugi											
やさい	vegetable	yasai													
くだもの	fruit for eating	kudamono													
いも	yam	potato	taro	imo											
まめ	beans	peas	mame												
だいこん	Japanese white radish	daikon													
にんじん	carrot	ninjin													
リンゴ	apple	ringo													
ミカン	mandarin orange	mikan													
バナナ	banana	banana	kanshō												
ナシ	pear	nashi													
クリ	chestnut tree	kuri													
モモ	peach	momo													
トマト	tomato	tomato	banka												
スイカ	watermelon	suika													
Food															
たべもの、食べ物 - food	tabemono														
ちょうしょく、朝食 - breakfast	chōshoku	asagohan													
ひるごはん、昼御飯 - lunch	hirugohan														
ばんごはん、晩御飯 - dinner	bangohan														
ごはん、御飯 - cooked rice or meal	gohan														
みそ、味噌 - miso	miso														
りょうり、料理 - cooking	ryōri														
サラダ - salad	sarada														
デザート - dessert	dezāto														
パン - bread	pan														
サンドイッチ - sandwich	sandoitchi														
おやつ、間食 - snack	oyatsu	kanshoku													
アイスクリーム - ice cream	aisukurīmu														
															
のみもの	drink	nomimono	drink												
ちゃ	tea	ocha													
おちゃ	green tea	ocha													
コーヒー、珈琲 - coffee	kōhī														
ぎゅうにゅう、牛乳 - milk	gyūnyū														
みず、水 - water	" ""mizu"""														
ビール - beer	" ""bīru"""														
ワイン - wine	" ""wain"""														
Seasoning															
さとう、砂糖 - sugar	satō														
しお、塩 - salt	shio														
しょうゆ、醤油 - soy sauce	shōyu														
Time															
じかん	time	jikan													
とき	~hours	toki	ji												
こよみ	calendar	koyomi	karendā												
ふん	minute	fun													
びょう	second	byō													
ひ	day	hi	nichi												
つき	month	tsuki	gatsu												
(# -gatsu /	January	1st Month):Ichi-	Ni-	San-	Shi-	Go-	Roku-	Shichi-	Hachi-	Ku-	Jyu-	JyuIchi-	JyuNi-	December	12th Month
とし	year	toshi	nen												
(Last year: kyonen	this year: kotoshi	next year: rainen)													
きのう	yesterday	kinō	sakujitsu												
きょう	today	kyō													
あした	tomorrow	ashita	asu	myōnichi											
あさ	morning	asa													
(Yesterday morning: kinou no asa	this morning: kesa	tomorrow morning: ashita no asa)													
ひる	afternoon	hiru													
ゆうがた	evening	yūgata													
ばん	evening	ban													
よる	evening	night	yoru												
ようび	~day	yōbi													
しゅう	week	shū													
(Last week: senshū	this week: konshū	next week: raishū)													
いっしゅうかん	one week	isshūkan													
Week Days															
にちようび	Sunday	nichi-yōbi													
げつようび	Monday	getsu-yōbi													
かようび	Tuesday	ka-yōbi													
すいようび	Wednesday	sui-yōbi													
もくようび	Thursday	moku-yōbi													
きんようび	Friday	kin-yōbi													
どようび	Saturday	do-yōbi													
															
たいよう	sun	taiyō	weather												
つき	moon	tsuki	weather												
ほし	star	hoshi	weather												
てんき	weather	tenki	weather												
はれ	clear weather	hare	weather												
あめ	rain	ame	weather												
くもり	cloudy	kumori	weather												
ゆき	snow	yuki	weather												
かぜ	wind	kaze	weather												
かみなり	thunder/thunder	kaminari	weather												
たいふう	typhoon	taifū	weather												
あらし	storm	arashi	weather												
そら	sky	sora	weather												
															
きた	north	kita	direction												
ひがし	east	higashi	direction												
みなみ	south	minami	direction												
にし	west	nishi	direction												
ここ	here	koko	direction												
そこ	there	soko	direction												
あそこ	over there	asoko	direction												
みぎ	right	migi	direction												
ひだり	left	hidari	direction												
うえ	above/up	ue	direction												
した	below/down	shita	direction												
まえ	front	mae	direction												
うしろ	behind	ushiro	direction												
むこう	the other side	mukō	direction												
ななめ	diagonal	naname	direction												
てまえ	nearer	temae	direction												
とおい	far	tooi	direction												
ちかい	near	chikai	direction												
															
みず	water	mizu	element												
ゆ	hot water	yu													
こおり	ice	kōri													
ゆげ	steam	yuge													
ひ	fire	hi													
ガス – gas	gasu														
くうき	air	atmosphere	kūki												
つち	earth	ground	tsuchi												
きんぞく	metal	metallic	kinzoku												
どろ	mud	mire	clay	plaster	doro										
けむり	smoke	tobacco	opium	kemuri											
てつ	iron [Fe]	tetsu													
どう	copper [Cu]	dō													
きん	gold [Au]; money	kin													
ぎん	silver [Ag]; wealth	gin													
なまり	lead [Pb]	namari													
しお	salt [NaCl]	shio													
Weights and measures															
メートル – meter	mētoru														
リットル – litre	rittoru														
グラム – gram	guramu														
キロ – kilo-	kiro														
ミリ – milli-	miri														
センチメートル	センチ – centimeter	senchi													
インチ – inch	inchi														
Society															
しゃかい	society	shakai													
けいざい	economy	economics	keizai												
かいしゃ	company	kaisha													
かいぎ	meeting	kaigi													
がっこう	school	gakkō													
やくしょ	local government office	yakusho													
みせ	store	mise													
ホテル – hotel	hoteru														
こうじょう	factory	kōjō													
かね	money	kane	most commonly o-kane												
さつ	bill [of money	e.g.	a thousand-yen bill]	satsu											
こぜに	small change	kozeni													
つりせん	change	tsurisen)	change	o-tsuri											
じどうはんばいき	vending machine	slot machine	jidōhanbaiki												
きっぷ	ticket	public transport	fine)	kippu											
きって	stamp	kitte													
Human made objects															
Home															
つくえ	desk	tsukue													
いす	chair	position	isu												
たたみ	a tatami mat	tatami													
と	door	family	to												
とびら	door panel	tobira													
ドア – door	doa														
まど	window	mado													
ふとん	futon	futon													
げんかん	entrance	genkan													
いえ	house	home	ie												
エレベーター – elevator	erebētā														
エスカレーター – escalator	esukarētā														
でんき	electricity	denki													
Tools															
くぎ	nail	spike	kugi												
ひも	string	cord	himo												
なわ	rope	string	nawa												
ふくろ	pocket	bag	fukuro												
かばん	leather bag	kaban													
かさ	umbrella	parasol	kasa												
かぎ	door bolt	key	kagi												
ちょうこく	sculpture	engraving	chōkoku												
Stationery															
ぶんぼうぐ	quill(bunbōgu)														
インク – ink	inku														
ペン – pen	pen														
ボールペン – ball-point pen	bōrupen														
まんねんひつ	fountain pen	mannenhitsu													
えんぴつ	pencil	enpitsu													
ふで	brush for writing or painting	fude													
チョーク – chalk	chōku														
けしゴム	eraser	keshigomu													
えんぴつけずり	pencil sharpener	enpitsu-kezuri													
じょうぎ	ruler	jōgi													
ノート – notebook	nōto														
にっき	diary	nikki													
カバー – book cover	kabā														
ふうとう	envelope	fūtō													
はさみ	scissors	hasami													
ホッチキス – stapler	hotchikisu														
Clothes															
ふく	clothes	fuku													
ようふく	western clothing	yōfuku													
きもの	kimono	kimono													
わふく	Japanese clothing	wafuku													
そで	sleeve	sode													
えり	lapel	collar	eri												
ボタン – button	botan														
チャック	zipper	zipper fastener	chakku	fasunā	jippā										
ベルト – belt	beruto														
くつ	shoe	kutsu													
くつした	sock	kutsushita													
めがね	glasses	megane													
Transport															
てつどう	railway	tetsudō													
えき	station	eki													
ひこうき	airplane	hikōki													
くうこう	airport	kūkō	hikōjō												
みち	street	way	road	michi											
どうろ	road	dōro													
バスてい	bus-stop	basutei													
とおり	avenue	tōri													
でんしゃ	train	densha													
くるま	car	kuruma	jidōsha												
Language															
もじ	letter	character	script	moji											
じ	a letter	character	ji												
かんじ	Chinese character	kanji													
ひらがな	hiragana syllabary characters	hiragana													
カタカナ	katakana syllabary characters	katakana													
すうじ	numbers	sūji													
アルファベット – alphabet	arufabetto														
ローマ字 – Roman characters	Latin script	rōmaji													
がいこくご	foreign language	gaikokugo													
にほんご	Japanese [language]	nihongo													
えいご	English [language]	eigo													
ちゅうごくご	Chinese [language]	chūgokugo													
どいつご	German [language]	doitsugo													
すぺいんご	Spanish [language]	supeingo													
ふらんすご	French [language]	furansugo													
ちょうせんご	Korean [language]	South Korean [language]	chōsengo	kankokugo											
Media															
ほん	book	hon													
かみ	paper	kami													
てがみ	letter	tegami													
しんぶん	newspaper	shinbun													
じしょ	dictionary	jisho													
パソコン – personal computer	pasokon														
															
いろ	color	iro	color												
あか	red	aka	color												
きいろ	yellow	kiiro	color												
みどり	green	midori	color												
あお	blue	ao	color												
むらさき	purple	murasaki	color												
しろ	white	shiro	color												
くろ	black	kuro	color												
ピンク	pink	pinku	color												
ちゃいろ	brown	chairo	color												
はいいろ	grey	haiiro	color												
オレンジ	orange	orenji	color												
															
え	picture	e													
おんがく	music	ongaku													
りか	science	rika													
さんすう	arithmetic	sansū													
れきし	history	rekishi													
ちり	geography	chiri													
たいいく	physical education	taiiku													
スポーツ – sport	supōtsu														
システム – system	shisutemu														
じょうほう	information	news	jōhō												
ひつよう	necessity	hitsuyō													
べんきょう	study	benkyō													
いらい	request	irai													
Numbers															
れい	zero	rei	zero												
いち	one	ichi													
に	two	ni													
さん	three	san													
よん	four	yon	shi												
ご	five	go													
ろく	six	roku													
なな	seven	nana	shichi												
はち	eight	hachi													
きゅう	nine	kyū	ku												
じゅう	ten	jū													
ひゃく	hundred	hyaku													
せん	thousand	sen													
まん	ten thousand	man													
おく	one hundred million	oku													
ひとつ	one	one thing	hitotsu												
ふたつ	two	two things	futatsu												
みっつ	three	three things	mittsu												
よっつ	four	four things	yottsu												
いつつ	five	five things	itsutsu												
むっつ	six	six things	muttsu												
ななつ	seven	seven things	nanatsu												
